Date,Transaction Description,Category,Amount,Type
2025-11-14,Score each.,Food & Drink,1485.69,Expense
2025-11-14,Quality throughout.,Utilities,1475.58,Expense
2025-11-16,Instead ahead despite measure ago.,Rent,1185.08,Expense
2025-11-17,Information last everything thank serve.,Investment,2291.0,Income
2025-11-25,Future choice whatever from.,Food & Drink,1126.88,Expense
2025-11-26,Benefit suggest page southern.,Shopping,448.68,Expense
2025-11-30,By two bad fall pick.,Food & Drink,1520.03,Expense
2025-12-01,Court attorney product significant world.,Other,3287.0,Income
2025-12-03,Herself law.,Entertainment,1914.85,Expense
2025-12-07,Have decide environment.,Rent,766.06,Expense
2025-12-07,Play move each left establish.,Health & Fitness,1211.41,Expense
2025-12-08,Range successful simply.,Salary,1077.09,Expense
2025-12-11,Source husband.,Shopping,166.81,Expense
2025-12-12,Tree note responsibility.,Health & Fitness,1158.93,Expense
2025-12-13,How trip learn enter.,Food & Drink,1325.91,Expense
2025-12-13,Much section investment on gun.,Rent,1712.08,Expense
2025-12-13,Management sense technology check civil.,Shopping,563.17,Expense
2025-12-15,As high you more wife.,Health & Fitness,333.68,Expense
2025-12-17,Race mr.,Travel,1406.62,Expense
2025-12-18,Born itself law west.,Rent,1222.17,Expense
2025-12-18,Seven medical blood personal.,Investment,1838.0,Income
2025-12-20,Current hear claim well two.,Travel,1979.15,Expense
2025-12-20,Food affect upon these story.,Entertainment,1372.38,Expense
2025-12-21,Around there water.,Food & Drink,465.81,Expense
2025-12-21,Staff within mouth call.,Other,3786.0,Income
2025-12-22,Close month parent who up.,Entertainment,1827.14,Expense
2025-12-24,Human public health.,Health & Fitness,433.13,Expense
2025-12-26,Building different full open.,Salary,294.31,Expense
2025-12-28,Detail audience piece director town.,Other,4009.0,Income
2025-12-29,Method everything.,Shopping,730.37,Expense
2025-12-29,Much rich think.,Utilities,1023.96,Expense
2025-12-31,Drug list imagine behind.,Investment,1398.0,Income
2026-01-01,Interest level rock pull.,Investment,3958.0,Income
2026-01-02,I fund.,Shopping,769.42,Expense
2026-01-08,Court movie cell.,Travel,1942.45,Expense
2026-01-09,Leg themselves away.,Food & Drink,1363.76,Expense
